row_type,model,dataset,plane,n_qubits,eval_split,trial,seed,epoch,train_loss,train_acc,test_loss,test_acc,test_macro_f1,test_balanced_acc,precision,recall,f1,macro_f1,balanced_acc,sensitivity,specificity,auc,tn,fp,fn,tp,lr
epoch,hybrid,oasis-2,coronal,2,original,1,42,1,1.469140812754631,0.5,1.2255453569814563,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,1,42,2,1.3533132821321487,0.5,1.4260805691592395,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,1,42,3,1.3389471992850304,0.5,1.3442143760621548,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,1,42,4,1.2909557074308395,0.5,1.3438440044410527,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,1,42,5,1.2844108948484063,0.5,1.4080964839085937,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,1,42,6,1.267143089324236,0.5,1.4061117991805077,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,1,42,7,1.2512513026595116,0.5,1.258287106640637,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,1,42,8,1.204507987946272,0.5,1.2113080420531332,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,1,42,9,1.1703784242272377,0.5,1.1649916674941778,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,1,42,10,1.190871685743332,0.5,1.1321291327476501,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
final,hybrid,oasis-2,coronal,2,original,1,42,10,1.190871685743332,0.5,1.1321291327476501,0.5,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,0.0,0.580078125,0,32,0,32,0.001
final,hybrid,oasis-2,coronal,2,balanced,1,42,10,1.190871685743332,0.5,1.1321291327476501,0.5,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,0.0,0.580078125,0,32,0,32,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,1,0.8550730235874653,0.5,0.8301137574017048,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,2,0.8214366212487221,0.5,0.8050663135945797,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,3,0.8091554120182991,0.5,0.7914946228265762,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,4,0.7874950915575027,0.5,0.7808835245668888,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,5,0.7789626978337765,0.5,0.7694354988634586,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,6,0.7661829479038715,0.5,0.7580517083406448,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,7,0.7555843833833933,0.5,0.747854683548212,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,8,0.7461140044033527,0.5,0.7398659139871597,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,9,0.7388494499027729,0.5,0.7322576902806759,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,2,43,10,0.7330230847001076,0.5,0.7262111268937588,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
final,hybrid,oasis-2,coronal,2,original,2,43,10,0.7330230847001076,0.5,0.7262111268937588,0.5,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,0.0,0.66796875,0,32,0,32,0.001
final,hybrid,oasis-2,coronal,2,balanced,2,43,10,0.7330230847001076,0.5,0.7262111268937588,0.5,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,0.0,0.66796875,0,32,0,32,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,1,0.7061674408614635,0.5,0.6908000037074089,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,2,0.710836585611105,0.53125,0.6835469864308834,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,3,0.6787265501916409,0.5546875,0.6811859011650085,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,4,0.6799532100558281,0.5625,0.6438590213656425,0.53125,0.3992490613266583,0.53125,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,5,0.6216021291911602,0.71875,0.5977216884493828,0.625,0.5636363636363637,0.625,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,6,0.5833218805491924,0.7734375,0.564294558018446,0.6875,0.6536796536796536,0.6875,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,7,0.5483596492558718,0.8203125,0.5228082425892353,0.9375,0.9374389051808407,0.9375,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,8,0.4941195659339428,0.9140625,0.48731107637286186,0.953125,0.9531135531135531,0.953125,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,9,0.47924727760255337,0.8984375,0.44412120059132576,0.953125,0.9531135531135531,0.953125,,,,,,,,,,,,,0.001
epoch,hybrid,oasis-2,coronal,2,original,3,44,10,0.42639825493097305,0.96875,0.41755494475364685,0.953125,0.9531135531135531,0.953125,,,,,,,,,,,,,0.001
final,hybrid,oasis-2,coronal,2,original,3,44,10,0.42639825493097305,0.96875,0.41755494475364685,0.953125,0.9531135531135531,0.953125,0.967741935483871,0.9375,0.9523809523809523,0.9531135531135531,0.953125,0.9375,0.96875,0.994140625,31,1,2,30,0.001
final,hybrid,oasis-2,coronal,2,balanced,3,44,10,0.42639825493097305,0.96875,0.41755494475364685,0.953125,0.9531135531135531,0.953125,0.967741935483871,0.9375,0.9523809523809523,0.9531135531135531,0.953125,0.9375,0.96875,0.994140625,31,1,2,30,0.001
summary,hybrid_mean,oasis-2,coronal,2,original,,,,0.7834310084581375,0.65625,0.7586317347983519,0.6510416666666666,,,0.6559139784946236,0.9791666666666666,0.7619047619047619,0.5399267399267399,0.6510416666666666,0.9791666666666666,0.3229166666666667,0.7473958333333334,10.333333333333334,21.666666666666668,0.6666666666666666,31.333333333333332,
summary,hybrid_std,oasis-2,coronal,2,original,,,,0.3141237820644394,0.2209708691207961,0.2926230674428565,0.21360517348343624,,,0.22049566295064388,0.02946278254943948,0.13468700594029476,0.2921671975012548,0.21360517348343624,0.02946278254943948,0.45667312951631195,0.1781262373555951,14.613540144521982,14.613540144521982,0.9428090415820634,0.9428090415820634,
